name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
GUAVA TREE,guava-tree,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-207,10,
IMLI PLANT,imli-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-208,10,
INDIAN ALMOND TREE,indian-almond-tree,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-209,10,
JACK FRUIT,jack-fruit,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-210,10,
JAMUN,jamun,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-211,10,
JUNGLE JALEBI,jungle-jalebi,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-212,10,
MANGO PLANT,mango-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-213,10,
RAMFAL TREE,ramfal-tree,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-214,10,
SWEET LIME,sweet-lime,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-215,10,

CARMONA FLOWERING,carmona-flowering,Bonsai Plants,,Bonsai plant,199900,159900,BON-200,8,
CHINESE ELM BONSAI,chinese-elm-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-201,8,
FICUS AERIAL ROOT,ficus-aerial-root,Bonsai Plants,,Bonsai plant,199900,159900,BON-202,8,
FICUS BONSAI,ficus-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-203,8,
FICUS MICROCARPA BONSAI,ficus-microcarpa-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-204,8,
FICUS RETUSA BONSAI,ficus-retusa-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-205,8,
JUNIPER BONSAI TREE,juniper-bonsai-tree,Bonsai Plants,,Bonsai plant,199900,159900,BON-206,8,
MINI JADE BONSAI TREE,mini-jade-bonsai-tree,Bonsai Plants,,Bonsai plant,199900,159900,BON-207,8,
ULMUS PARVIFOLIA BONSAI,ulmus-parvifolia-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-208,8,

AADATHODA,aadathoda,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-200,20,
BLACK PEPPER,black-pepper,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-201,20,
CHAKRAMUNI,chakramuni,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-202,20,
ELEPHANT CREEPER,elephant-creeper,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-203,20,
GIANT MILKWEED,giant-milkweed,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-204,20,
GLORY BOWER,glory-bower,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-205,20,
GREATER GALANGAL,greater-galangal,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-206,20,
INSULIN,insulin,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-207,20,
MALABAR SPINACH,malabar-spinach,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-208,20,
MANATHAKALI,manathakali,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-209,20,
PAN,pan,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-210,20,
PIRANDAI,pirandai,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-211,20,
RANAKLLI,ranaklli,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-212,20,
ROSARY PEA,rosary-pea,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-213,20,
ROSEMARY,rosemary-herbal,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-214,20,
ROOSTERTREE,roostertree,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-215,20,
SAPPAN WOOD,sappan-wood,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-216,20,
SHATAVARI,shatavari,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-217,20,
STEVIA,stevia,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-218,20,
